Client_Id,Name,Address,VAT_no,Contact_person,Email_address
1,ABLAND (PTY) LTD,"PO Box 2373, BROOKLYN SQUARE, 0075",4210205367,Hannes Kleinhans,hannes.kleinhans@abland.co.za 
2,UNIVERSITY OF PRETORIA: Facilities Management,"Private Bag X20, HATFIELD, PRETORIA, 0075",4610117774,Yzelle van den Berg,yzelle.van.denberg@up.ac.za
3,PRICELESS PROPERTIES (PTY) LTD,"PO Box 568, Groblersdal, 0470",4180203087,Albert Blignaut,albert@micawcity.co.za
4,WINGTIP CROSSING SHOPPING CENTRE (PTY) LTD,"PRIVATE BAG X504, SINOVILLE, 0129",4680265610,Joel Erasmus,jdea@stratam.co.za
5,M&T DEVELOPMENT (PTY) LTD,"P.O. BOX 39727, FAERIE GLEN, 0043",4020160976,Wimpie Van Der Bank,wimpie.vandenbank@m-t.co.za
6,DGSD Consulting Engineers & Project Managers,"PO Box 2821, PRETORIA, 0001",4940157722,Freda Groenewald,freda@dgsd.co.za 
7,NEMATEX (PTY) LTD,"P O Box 72689, LYNNWOOD RIDGE, 0040",4610263537,Yolandi,yolandiB@moolman.co.za
8,UNIQON WONINGS (EDMS) BPK,"PO Box 29593, SUNNYSIDE, PRETORIA, 0132",4120182201,Etienne Coetzer,ettiennec@uniqon.co.za
9,BUNKERHILL INVESTMENTS 376 (PTY) LTD,"PO BOX 26028, MONUMENT PARK, 0105",4240190019,Albertus Van Rooyen,albertus@bunker.co.za
10,COSTA ZERVAS PROJECTS,"PO Box 28982, SUNNYSIDE, 0132",4770220574,Costas Zervas,Zervas@costazerva.co.za
11,BOULDER PROPERTY INVESTMENTS (PTY) LTD,"26 STURDEE AVENUE, ROSEBANK",4090263346,Wally Teichman,wallyT@boulder.co.za
12,VIERFONTEIN PROPERTIES (PTY) LTD,"PRIVATE BAG X51,BRYANSTON, 2021 ",4240238776,Hendrik Van Zyl,henddrik@vierfontein.co.za
13,BESTWOOD SECURITISATION RF (PTY) LTD,"PO Box 1879, Bellville, 7530",4110260397,Chantel Alberts,chantell@bestwood.co.za
