Erongo;		Swakopmund;	63539;	55470;	107663;	150809;	182400;
Hardap;		Mariental;	109781;	66495;	68249;	79507;	87200;
Karas;		Keetmanshoop;	161514;	61162;	69329;	77421;	85800;
Okavango;	Rundu, Nkurenkuru;	48742;	116830;	202694;	223352;	237800;
Khomas;		Windhoek;	36964;	167071;	250262;	342141;	415800;
Kunene;		Opuwo;		115260;	64017;	68735;	86856;	97900;
Ohangwena;	Eenhana;	10706;	179634;	228384;	245446;	255500;
Omaheke;	Gobabis;	84981;	52735;	68039;	71233;	74600;
Omusati;	Outapi;		26551;	189919;	228842;	243166;	249900;
Oshana;		Oshakati;	8647;	134884;	161916;	176674;	189200;
Oshikoto;	Tsumeb;		38685;	128745;	161007;	181973;	195200;
Otjozondjupa;	Grootfontein;	105460;	102536;	135384;	143903;	154300;
Zambezi/Caprivi; Katima Mulilo;	14785;	90422;	79826;	90596;	98800;
